survey;platform_code;operation_code;species_code;category_code;weight
CAMP2;201176;3;10488;0;3.640
CAMP2;201176;3;10489;0;0.905
CAMP2;201176;3;10495;0;0.380
CAMP2;201176;3;10499;0;10.770
CAMP2;201176;3;10507;0;10.610
CAMP2;201176;3;10537;0;1.550
CAMP2;201176;3;10641;0;0.422
CAMP2;201176;3;30167;0;0.590
CAMP2;201176;4;10816;0;49.850
CAMP2;201176;5;10138;0;0.625
CAMP2;201176;5;10152;0;37.940
CAMP2;201176;5;10156;0;2.790
CAMP2;201176;5;10283;0;0.205
CAMP2;201176;5;10407;0;0.610
CAMP2;201176;5;10416;0;38.880
CAMP2;201176;5;10423;0;0.780
CAMP2;201176;5;10490;0;0.220
CAMP2;201176;5;10522;0;0.800
CAMP2;201176;5;10532;0;3.675
CAMP2;201176;5;10641;0;0.277
CAMP2;201176;5;10675;0;0.820
CAMP2;201176;5;30167;0;1.045
CAMP2;201176;6;10056;0;4.775
CAMP2;201176;6;10152;0;5.740
CAMP2;201176;6;10156;0;118.210
CAMP2;201176;6;10283;0;0.645
CAMP2;201176;6;10634;0;0.015
CAMP2;201176;6;10642;0;0.615
CAMP2;201176;6;30162;0;0.075
CAMP2;201176;7;10107;0;5.285
CAMP2;201176;7;10141;0;0.380
CAMP2;201176;7;10152;0;14.600
CAMP2;201176;7;10337;0;0.520
CAMP2;201176;7;10407;0;1.740
CAMP2;201176;7;10414;0;0.902
CAMP2;201176;7;10416;0;182.860
CAMP2;201176;7;10423;0;1.800
CAMP2;201176;7;10426;0;0.190
CAMP2;201176;7;10456;0;2.395
CAMP2;201176;7;10488;0;1.345
CAMP2;201176;7;10490;0;1.075
CAMP2;201176;7;10493;0;0.142
CAMP2;201176;7;10507;0;0.320
CAMP2;201176;7;10522;0;0.109
CAMP2;201176;7;10641;0;9.386
CAMP2;201176;7;10675;0;1.135
CAMP2;201176;7;11192;0;3.225
CAMP2;201176;7;12822;0;0.299
CAMP2;201176;7;30167;0;2.185
CAMP2;201176;8;10152;0;0.352
CAMP2;201176;8;10156;0;21.860
CAMP2;201176;8;10283;0;0.338
CAMP2;201176;8;10641;0;0.235
CAMP2;201176;8;10642;0;0.730
CAMP2;201176;8;30162;0;0.118
CAMP2;201176;8;30167;0;0.086
CAMP2;201176;9;10107;0;0.640
CAMP2;201176;9;10141;0;0.112
CAMP2;201176;9;10152;0;6.080
CAMP2;201176;9;10156;0;10.150
CAMP2;201176;9;10156;2;0.190
CAMP2;201176;9;10337;0;1.100
CAMP2;201176;9;10407;0;1.100
CAMP2;201176;9;10414;0;0.070
CAMP2;201176;9;10416;0;87.990
CAMP2;201176;9;10454;0;0.262
CAMP2;201176;9;10456;0;1.480
CAMP2;201176;9;10471;0;0.131
CAMP2;201176;9;10488;0;0.575
CAMP2;201176;9;10490;0;1.040
CAMP2;201176;9;10493;0;0.034
CAMP2;201176;9;10495;0;0.390
CAMP2;201176;9;10507;0;0.365
CAMP2;201176;9;10519;0;0.267
CAMP2;201176;9;10522;0;0.735
CAMP2;201176;9;10542;0;0.128
CAMP2;201176;9;10579;0;0.054
CAMP2;201176;9;10639;0;5.455
CAMP2;201176;9;10641;0;194.720
CAMP2;201176;9;10739;0;0.038
CAMP2;201176;9;11192;0;1.560
CAMP2;201176;9;12822;0;0.725
CAMP2;201176;9;30159;0;0.760
CAMP2;201176;9;30167;0;2.565
CAMP2;201176;9;30190;0;0.195
CAMP2;201176;10;10156;0;156.310
CAMP2;201176;10;10441;0;6.205
CAMP2;201176;10;10634;0;0.018
CAMP2;201176;10;10642;0;0.270
CAMP2;201176;10;30162;0;0.015
CAMP2;201176;10;30183;0;0.012
CAMP2;201176;10;60504;0;0.185
CAMP2;201176;11;10107;0;26.245
CAMP2;201176;11;10152;1;0.090
CAMP2;201176;11;10152;2;11.600
CAMP2;201176;11;10156;0;2.015
CAMP2;201176;11;10414;0;0.230
CAMP2;201176;11;10416;0;6.765
CAMP2;201176;11;10488;0;1.120
CAMP2;201176;11;10490;0;0.205
CAMP2;201176;11;10507;0;0.515
CAMP2;201176;11;10519;0;0.595
CAMP2;201176;11;10522;0;0.070
CAMP2;201176;11;10641;0;4.230
CAMP2;201176;11;12822;0;0.097
CAMP2;201176;11;30159;0;0.190
CAMP2;201176;11;30167;0;0.820
CAMP2;201176;11;30188;0;0.920
CAMP2;201176;12;10107;0;0.575
CAMP2;201176;12;10152;1;4503.830
CAMP2;201176;12;10152;2;23.244
CAMP2;201176;12;10156;0;2.048
CAMP2;201176;12;10414;0;0.261
CAMP2;201176;12;10416;0;5.772
CAMP2;201176;12;10489;0;0.438
CAMP2;201176;12;10493;0;0.045
CAMP2;201176;12;10507;0;0.955
CAMP2;201176;12;10522;0;2.113
CAMP2;201176;12;10641;0;13.880
CAMP2;201176;12;12822;0;2.281
CAMP2;201176;12;30167;0;0.590
CAMP2;201176;12;30186;0;0.365
CAMP2;201176;12;40031;0;0.060
CAMP2;201176;12;60150;0;0.720
CAMP2;201176;13;10152;0;324.842
CAMP2;201176;13;10156;0;1.678
CAMP2;201176;13;10283;0;0.640
CAMP2;201176;13;10414;0;2.349
CAMP2;201176;13;10415;0;24.425
CAMP2;201176;13;10489;0;0.390
CAMP2;201176;13;10507;0;0.071
CAMP2;201176;13;10522;0;1.431
CAMP2;201176;13;10641;0;3806.339
CAMP2;201176;14;10156;0;17.130
CAMP2;201176;14;10177;0;1.620
CAMP2;201176;14;10277;0;0.055
CAMP2;201176;14;10283;0;0.075
CAMP2;201176;14;10414;0;4.950
CAMP2;201176;14;10415;0;1.330
CAMP2;201176;14;10489;0;0.305
CAMP2;201176;14;10495;0;2.305
CAMP2;201176;14;10522;0;0.405
CAMP2;201176;14;10634;0;0.003
CAMP2;201176;14;10641;0;2.830
CAMP2;201176;14;10642;0;1.115
CAMP2;201176;14;30162;0;0.087
CAMP2;201176;15;10156;0;17.600
CAMP2;201176;15;10283;0;0.042
CAMP2;201176;15;10441;0;0.400
CAMP2;201176;15;10634;0;0.024
CAMP2;201176;15;10641;0;0.083
CAMP2;201176;15;10642;0;2.530
CAMP2;201176;15;30162;0;0.040
CAMP2;201176;16;00001;0;2.000
CAMP2;201176;16;10104;0;5.530
CAMP2;201176;16;10152;0;359.620
CAMP2;201176;16;10156;0;1.230
CAMP2;201176;16;10283;0;0.033
CAMP2;201176;16;10320;0;0.545
CAMP2;201176;16;10414;0;105.910
CAMP2;201176;16;10415;0;40.600
CAMP2;201176;16;10488;0;0.495
CAMP2;201176;16;10495;0;4.645
CAMP2;201176;16;10507;0;0.565
CAMP2;201176;16;10522;0;4.045
CAMP2;201176;16;10641;0;37.650
CAMP2;201176;16;10642;0;1.470
CAMP2;201176;17;10156;0;192.260
CAMP2;201176;17;10277;0;0.154
CAMP2;201176;17;10283;0;1.190
CAMP2;201176;17;10414;0;26.020
CAMP2;201176;17;10415;0;0.059
CAMP2;201176;17;10522;0;0.390
CAMP2;201176;17;10634;0;0.047
CAMP2;201176;17;10641;0;6.675
CAMP2;201176;17;10642;0;10.945
CAMP2;201176;17;30162;0;0.191
CAMP2;201176;17;30177;0;0.024
CAMP2;201176;18;10152;0;69.460
CAMP2;201176;18;10156;0;0.430
CAMP2;201176;18;10283;0;0.815
CAMP2;201176;18;10310;0;18.705
CAMP2;201176;18;10320;0;0.360
CAMP2;201176;18;10321;0;1.790
CAMP2;201176;18;10323;0;0.962
CAMP2;201176;18;10414;0;0.405
CAMP2;201176;18;10415;0;0.175
CAMP2;201176;18;10488;0;0.340
CAMP2;201176;18;10641;0;1.633
CAMP2;201176;18;10642;0;1.228
CAMP2;201176;18;30162;0;0.035
CAMP2;201176;18;30167;0;0.260
CAMP2;201176;18;40059;0;0.440
CAMP2;201176;18;40089;0;0.001
